"","one","two","three","four","five"
"989","boat","heart transplant","murder","serial killer","sister"
"990","bank","chase","district attorney","interpol","murder"
"991","escape","island","los angeles california","machismo","president's daughter"
"992","boy","friend","government agent","maine","robot"
"993","expedition","oceanographer","sea","shark","team"
"994","american civil war","civil war","u.s. civil war","american civil war","civil war"
"995","activist","death","death row","murder","texas"
"996","cheerleader","cheerleading movie","neo noir","neo western","texas ranger"
"997","death","drug dealer","limousine","limousine driver","one night"
"998","male pubic hair","pubic hair","russian","sex scene","turkish bath"
"999","bahamas","blood splatter","cocaine","hairy chest","shark"
"1000","cathedral","dauphin","france","trial","wartime rape"
"1001","knight","prince","quest","rescue","thong bikini"
"1002","closet","father daughter relationship","psychiatric hospital","real life sisters playing sisters","train"
"1003","hostage","museum","natural history museum","news reporter","reporter"
"1004","baby","baby boy","kidnapping","kidnapping a child","taxi"
"1005","17th century","adultery","letter","pubic hair","swimming"
"1006","bush administration","cia","interview","iraq","new york times"
"1007","alien","alien invasion","planet invasion","post apocalypse","year 2046"
"1008","bounty hunter","fbi","female bounty hunter","female nudity","reality show"
"1009","blackmail","investigation","murder","panties pulled down","prostitution"
"1010","battle","convict","death","mind control","role playing"
"1011","dream","escape","magic","magic spell","small town"
"1012","children","children's tv show","money","revenge","scandal"
"1013","chosen one","fashion","fashion model","model","retired"
"1014","breasts","consensual sex","female nudity","judge","surfer"
"1015","alien","baby","banker","pregnancy","question in title"
"1016","baby","cult","oklahoma","sex scene","waitress"
"1017","chun li","crime fighter","gangster","mobster","rescue"
"1018","fight","multiverse","police","police officer","prison"
"1019","based on novel","clan","scotland","scottish highlands","year 1743"
"1020","detective","groupie","murder","music industry","rock n roll"
"1021","inspired by radio program","inspired by true events","pirate broadcasting","pirate radio","pirate radio station"
"1022","cocaine","drug smuggling","interlinked stories","judge","mexico"
"1023","castle","diary","holy grail","map","nazi"
"1024","dance","infidelity","marriage","russia","russian"
"1025","artificial intelligence","consciousness","future","mind uploading","robot"
"1026","new york city","police","quadriplegic","serial killer","suicide"
"1027","brownstone","burglar","money","panic","panic room"
"1028","bare breasts","genital dismemberment","mulching someone","tooth fairy","woodchipper"
"1029","gold","gulf war","iraq","kuwait","map"
"1030","child murderer","murder","sex","soviet union","woman slaps a man"
"1031","casino","locker","money","museum","race"
"1032","extraterrestrial","hospital","patient","planet","science"
"1033","bridge","brooklyn bridge","falling down an elevator shaft","time travel","time travel romance"
"1034","contract","devil","dream","soul","wish"
"1035","brothers hugging","jazz","jealousy","nudity","parole violation"
"1036","outlaw","rancher","small western town","stagecoach","train"
"1037","betrayal","death","final showdown","murder","on the run"
"1038","heist","neo noir","one last job","opposites attract","u.s. marshal"
"1039","cable guy","foreplay","friend","kissing","television"
"1040","friend","hindu","india","muslim","sikh"
"1041","crime boss","detective","dick tracy","gangster","orphan"
"1042","art","insurance investigator","martinique","painting","trust"
"1043","boy","college","heroin","working class","writer"
"1044","1980s","colonel","deputy","rambo","sheriff"
"1045","hallucination","ocean","psychologist","scientist","space station"
"1046","apostrophe in title","cinderella","first of series","punctuation in title","three word title"
"1047","19th century","butler","housemaid","laboratory","servant"
"1048","best friend","chick flick","male female friendship","promise","wedding"
"1049","actor","love","movie star","press","publicist"
"1050","detective","insomnia","murder","partner","police"
"1051","21st century","borg","borg sphere","captain","sphere"
"1052","confederate","death","independence day","military","terrorist"
"1053","bravery","honor","medal of honor","military life","unreliable flashback"
"1054","birthday","birthday wish","father disappoints child","lie","workaholic"
"1055","1950s","douglas macarthur","general","inchon","invasion"
"1056","1000000 b.c.","box office hit","lawn mowing","product placement","stone age"
"1057","albanian","revenge","revenge motive","teenage daughter","vacation"
"1058","crop circle","farm","orchestral music score","reference to michael jackson","videotape"
"1059","beauty pageant","fbi","female agent","pageant","undercover"
"1060","cave","lost world","missing brother","mountain","venus flytrap"
"1061","coronation","horse","princess","queen","side saddle"
"1062","college professor","fbi","president","professor","supreme court"
"1063","boy","brother","lawyer","mafia","senator"
"1064","billionaire","friend","hospital","list","mechanic"
"1065","analyst","cia","ira","terrorist","terrorist attack"
"1066","breakdown","fight","mother in law","scheme","wedding"
"1067","child abduction","detective","investigation","police","sex offender"
"1068","lapd","narc","narcotics","title spoken by character","training"
"1069","alien","alien race","convention","fan","general"
"1070","blow job","demon","exorcism","priest","professor"
"1071","bel air california","book","friends who live together","the muppets","tribute band"
"1072","1990s","blade","blood","vampire","vampire hunter"
"1073","basketball","basketball coach","coach","contract","high school"
"1074","car accident","feud","lawyer","revenge","road rage"
"1075","amazon","anaconda","boat","jungle","snake"
"1076","girl in panties","lift skirt","sexual attraction","short shorts","songwriter"
"1077","aging rocker","christmas","love at first sight","minister","prime minister"
"1078","ant","circus","grasshopper","misunderstanding","overhearing"
"1079","freemason","jack the ripper","opium","prostitute","victorian era"
"1080","bomb","cia","explosive","explosives expert","miami florida"
"1081","driving range","golf","golfer","tournament","winnebago"
"1082","nurse","parent","sibling","widow","widower"
"1083","book","child","slapstick comedy","soccer","suburb"
"1084","alien","friend","galaxy","hyperspace","spaceship"
"1085","animated sequence","junkyard","love","party","television"
"1086","clone","convoy","crow","desert","satellite"
"1087","blind date","children","date","daughter","son"
"1088","chef","congressman","cook","hotel","senator"
"1089","criminal","rafting","river","robber","white water rafting"
"1090","best friend","birthday","boy","friend","magic"
"1091","arms tied overhead","damsel in distress","dea","marijuana","southern california"
"1092","cell phone","distress signal","family in danger","police","stealing a car"
"1093","british","crown jewels","explosion","funeral","spy"
"1094","ant","miniaturization","punishment","shrinking","sudden change in size"
"1095","desert planet","dune","giant worm","space travel","spice"
"1096","anti war","liverpool","love","protest","song"
"1097","based on novel","children","connecticut","suburb","work"
"1098","alcoholic","courthouse","detective","jail","witness"
"1099","box office flop","convent","mercenary","new york","pregnant"
"1100","detective","heavy rain","murder","partner","serial killer"
"1101","clone","cloning","construction","same actor playing two characters simultaneously on screen","year 1996"
"1102","alien","attic","boyfriend","mind control","nintendo ds"
"1103","nevada","pledge","police","porcupine","search"
"1104","accountant","money","opening night","scheme","swedish"
"1105","brutality","dark humor","female antagonist","female warrior","post apocalypse"
"1106","ghost","new york city","phantom","skull","superhero"
"1107","1940s","cowboy","mexico","railway station","texas"
"1108","courtship","election","paranoia","president","quaker"
"1109","british prime minister","death","island","memoir","writer"
"1110","creature feature","hijacker","ocean","ship","shot in the leg"
"1111","boy","german soldier","partisan","trapped","village"
"1112","china","chrysanthemum","emperor","empress","prince"
"1113","deaf","hitman","nightclub","pickpocket","rules of profession"
"1114","airport","fbi agent","person in a car trunk","suitcase","suitcase bomb"
"1115","19th century","colombia","love","marriage","widow"
"1116","france","living dead","serial killer","small town","supernatural"
"1117","american president","assassin","conspiracy","president","white house"
"1118","assassin","chinese","conspiracy","gadget","premier"
"1119","femme fatale","food","pun","supermarket","troubled production"
"1120","1970s","cia","f word","u.s. embassy","year 1979"
"1121","hospital","on the run","one armed man","surgeon","u.s. marshal"
"1122","bounty hunter","death","murder","police officer","reporter"
"1123","boy","guard","kicked in the crotch","prank","sexual abuse"
"1124","1980s","mission","prison","rambo","vietnam"
"1125","breasts","mafia","sex scene","temple","woods"
"1126","boy","conscience","fairy","jiminy cricket","pinocchio"
"1127","1890s","hired gun","immigrant","johnson county war","sheriff"
"1128","death","feud","forbidden love","vampire","werewolf"
"1129","assistant","experiment","frankenstein","medical student","scientist"
"1130","basketball","mentor","new york","school","writing"
"1131","12 step program","box office hit","car accident","vomiting","wedding"
"1132","collar","dog","fight","fighting","piano"
"1133","female removes her clothes","roommate","voyeur","voyeurism","wedding"
"1134","bar","fbi","law","law firm","lawyer"
"1135","brother brother relationship","death of brother","ghost","seeing dead people","talking with the dead"
"1136","apprentice","disobeying orders","gas station","hitman","nightclub"
"1137","narcotics","parody","police","remake","undercover cop"
"1138","actress","bookstore","friend","kiss","love"
"1139","chicken","escape","farm","freedom","rooster"
"1140","bride","friend","honeymoon","insurance","insurance company"
"1141","advertising","battle of the sexes","dating","one word title","womanizer"
"1142","drug lord","fbi","fbi agent","hospital","shot in the crotch"
"1143","cleopatra","egypt","epic","queen","roman empire"
"1144","claim in title","high school","mixed martial arts","ultimate fighting championship","underdog"
"1145","defense lawyer","lawyer","marine","murder","villager"
"1146","columbia university","lecture","marriage","professor","sex"
"1147","car accident","death of wife","mothman","point pleasant west virginia","urban legend"
"1148","austrian","fame","fashion","gay lead character","mockumentary"
"1149","drug cartel","drug lord","james bond 007","personal vendetta","vengeance"
"1150","death","forest","love","werewolf","werewolf bite"
"1151","criminal","detective","fire","homicide","media"
"1152","based on video game","dinosaur","king","mario","plumber"
"1153","1980s","arms dealer","immorality","ukrainian","warlord"
"1154","china","flying","king","palace","sword"
"1155","bail bond","bounty hunter","jeans","shot in the butt","title directed by female"
"1156","assassination attempt","communist dictatorship","dictator","exploding helicopter","finger bitten off"
"1157","bullet time","explosion","knife throwing","throwing a knife","violence"
"1158","american soldier","naval uniform","navy","patrol boat","uniform"
"1159","bullet","contortionist","gag humor","human cannonball","revenge"
"1160","competition","contest","friend","self expression","white rapper"
"1161","ape","computer animation","evolution","first person title","reference to louis de funes"
"1162","chaucer","jousting","knight","medieval times","tournament"
"1163","hong kong","interpol","medallion","ship","tough cop"
"1164","able to see the dead","ghost","plot twist","psychic","surprise ending"
"1165","detective","diamond","hotel","police","rooftop"
"1166","alaska","birding","competition","migration","storm"
"1167","apartment","bully","fight","karate","master"
"1168","based on true story","con artist","drunk wife","fbi investigation","scam"
"1169","alaska","deportation","father son relationship","male objectification","sitka alaska"
"1170","blood","murder","sex scene","wrongful arrest","wrongful conviction"
"1171","alternate timeline","same actor playing two characters simultaneously on screen","second part","year 2015","younger version of character"
"1172","brain capacity","drugs","fictional drug","one woman army","tough girl"
"1173","female frontal nudity","female nudity","perversion","sex scene","spanking"
"1174","mission","spy","surfing","trapped","virtual reality"
"1175","african american","court","law","mississippi","trial"
"1176","9 year old","house","illinois","new job","vomiting"
"1177","courage","navy seal","outnumbered","shot multiple times","survival"
"1178","baseball","friend","oregon","rivalry","softball"
"1179","based on supposedly true story","house","paranormal investigating","psychic","second part"
"1180","competitiveness","creator","entrepreneur","facebook","intellectual property"
"1181","advertising","bar","dating","lingerie slip","six word title"
"1182","female nudity","male nudity","parody","reference to myspace","sequel"
"1183","death","ghostface","murder","scream","survivor"
"1184","band","dog","letter","time machine","tombstone"
"1185","camera focus on female butt","gay bar","millionaire","singing in a car","two word title"
"1186","dracula","horror movie remake","maze","monster sex","vampire"
"1187","american","blog","book","cook","cooking"
"1188","baseball","baseball player","brooklyn dodgers","major league baseball","racism"
"1189","1950s","italy","mistaken identity","nudity","sociopath"
"1190","adoption","highway travel","road trip","sequel","stupidity"
"1191","antarctica","dog","siberian husky","sled dog","survival"
"1192","reference to ben affleck","reference to brad pitt","reference to george clooney","reference to jack nicholson","website"
"1193","computer hacker","crime boss","detective","drugs","wedding"
"1194","18th century","based on novel","colonel","french and indian war","revenge"
"1195","1950s","1960s","racism","rhythm and blues","singer"
"1196","anthology","corruption","hearing characters thoughts","neo noir","night"
"1197","explosion","multiple perspectives","president","secret service","shooting"
"1198","bromance","friend","gay brother","homosexual subtext","wedding"
"1199","dying","friend","inner beauty","love","self help guru"
"1200","death","gay slur","homosexuality","investigation","president"
"1201","cheerleading","fbi","fbi agent","nanny","undercover"
"1202","curse","hostage","mexico","pistol","vomiting"
"1203","adult as child","father son relationship","high school student","janitor","school"
"1204","beach house","blonde bombshell","cheating husband","revenge","wife meets mistress"
"1205","attempted suicide","car crash","collapsing scaffold","overflowing bathtub","tooth knocked out"
"1206","cia","cold war","lawyer","negotiation","spy"
"1207","battle","massacre","navigator","navy","rescue"
"1208","concert","drugs","recession","record company","rock star"
"1209","dance","dance competition","dance lesson","love","teacher"
"1210","action figure","battle","computer","military","toy"
"1211","based on comic","based on comic book","dark hero","image comics","superhero"
"1212","count","escape","island","revenge","sailor"
"1213","defense attorney","defense lawyer","lawyer","plot twist","prostitute"
"1214","agriculture","airport","amnesia","nurse","scientist"
"1215","illusion","magician","obsession","rivalry","secret"
"1216","kidnapping","reference to franz beckenbauer","scene during end credits","second part","singing in a car"
"1217","alien","cult film","mission control","product placement","rescue"
"1218","jaguar","mayan","solar eclipse","tribe","village"
"1219","british agent","defection","escape","kgb","soviet general"
"1220","kicked in the face","martial arts","punched in the face","strong female character","woman punching a man"
"1221","judicial","judiciary","lawyer","murder","painting"
"1222","adultery","extramarital affair","infidelity","unfaithfulness","writer"
"1223","house","lake","letter","love across time","parallel time"
"1224","attic","bound and gagged","hoodoo","secret","southern gothic"
"1225","dodgeball","portrait","soccer","soccer game","young love"
"1226","friend","love","maid","maid of honor","marriage"
"1227","band","music group","musical quartet","singer","song"
"1228","courtroom","domestic violence","insurance company","lawyer","underdog"
"1229","memory","murder","patient","psychiatrist","the devil"
"1230","courtroom","mutiny","ship","slave ship","slave trade"
"1231","cancer","environment","gas chromatograph","jungle","nature"
"1232","alien","escape","hunting","hybrid","predator"
"1233","attempted murder","based on comic book","escape from prison","lost at sea","wealth"
"1234","may december romance","new york","new york city","rockefeller center","title directed by female"
"1235","love","lyricist","singer","singing","song"
"1236","alien","geek","nerd","road trip","ufo"
"1237","cross country","love","mother son relationship","on the road","trip"
"1238","author","book","deputy","murder","sheriff"
"1239","investigation","obsession","private eye","private investigator","snuff film"
"1240","death","paris france","rock band","singer","the doors"
"1241","sex in a car","sex video","sexual desire","sexuality","undressing"
"1242","actress","clown costume","magazine","party planner","soap opera actress"
"1243","blood splatter","death","eyeball run over by car","latex gloves","suspension bridge"
"1244","auctioneer","fbi","mafia","mobster","painting"
"1245","alcoholism","boy","good deed","protective male","teacher"
"1246","baltimore orioles","boston red sox","promotion","ups","world series"
"1247","based on children's book","best friend","character name in title","friend","one word title"
"1248","bodyguard","bully","generation y","high school","nerd"
"1249","dancing sheep","fetish","musical scene","racial humor","snake poison"
"1250","1930s","bomb","city","invisibility","the shadow"
"1251","fear","mourning","mute","quest","revelation"
"1252","job offer","roller coaster","slow motion action scene","slow motion sequence","television"
"1253","male frontal nudity","male pubic hair","prison","pubic hair","violence"
"1254","blood splatter","fbi","murder","secretary general","united nations"
"1255","aids","hiv positive","lawyer","new york city","roommate"
"1256","easter","fbi","luminol","nurse","omen"
"1257","job interview","manhattan new york city","new york city","remake","sausage"
"1258","animal experimentation","chimera","island","jungle","mutant"
"1259","guard","king","murder","musketeer","swordsman"
"1260","children","court","king","king henry viii","love"
"1261","advertising","cancer","dog","san francisco california","terminal illness"
"1262","biblical plague","louisiana","missionary","plague","small town"
"1263","bar","catholic guilt","epilepsy","italian american","money"
"1264","army","basic training","reference to shakespeare's hamlet","teacher","u.s. army"
"1265","female in a shower","female nudity","premarital sex","sex scene","woman wearing a miniskirt"
"1266","camelot","dragon","excalibur","knight","sword"
"1267","beach","grandson","murder","new york city","police"
"1268","based on article","blindness","box office flop","massage therapist","regaining sight"
"1269","murder","on the run","security camera","surveillance footage","timebomb"
"1270","drug dealer","mayor","new york city","probation","scandal"
"1271","cult film","lap dance","lap dancing","stripper","striptease"
"1272","austria","cake","france","queen","versailles"
"1273","beard","female nudity","police brutality","stripper","woman in lingerie"
"1274","affair","car crash","enforcer","funeral","murder"
"1275","christmas","resort","thailand","tourist","tsunami"
"1276","cia","emir","hotel","map","morocco"
"1277","cider","farm","farmer","fox","tale"
"1278","football","homeless man","interview","psychic","reporter"
"1279","accident","bar","chase","cia","laboratory"
"1280","cheerfulness","female protagonist","garden gnome","magical realism","waitress"
"1281","dog","new york city","scholarship","senator","twin"
"1282","best friend","commitment","friend","limousine driver","one night stand"
"1283","arctic circle","reporter","small town","volunteer","whale"
"1284","basketball","boy","italian","kidnapping a child","reunion"
"1285","bondage gear","bound and gagged","hung by one's wrists","tied to a chair","tied to a table"
"1286","antidote","based on young adult novel","flyer","spider","vampire"
"1287","christmas","duplex","television","tenant","writer"
"1288","band","masturbation","reunion","singer","tribute"
"1289","military","mineral","ocean","ship","titanic"
"1290","combat","computer","general","military","reporter"
"1291","future","mission","space","spaceship","survival"
"1292","alien","android","bomb","future","weapon"
"1293","commercial","extreme sports","mountain","serbian","terrorist"
"1294","alternate history","alternate timeline","flatulence","future time travel","time travel comedy"
"1295","astronaut","earth","future","icarus","sun"
"1296","box office flop","buddhist","liar","literary agent","magical tree"
"1297","box office flop","computer animation","one word title","surrealism","villainess"
"1298","assassination","blood vomiting","death","hit squad","mercenary"
"1299","14 year old","british","gadget","spy","training"
"1300","binoculars","electronic tag","house arrest","neighbor","watching someone"
"1301","computer","computer virus","cyberpunk","fight the system","sexual fantasy"
"1302","bosnia","cia","fox","hunt","war criminal"
"1303","art deco","board of directors","industry","mail","stock"
"1304","assassination","blood brother","dynasty","general","stabbing a woman"
"1305","1800s","kazakhstan","nomad","1800s","kazakhstan"
"1306","closed ecological system","perpetual winter","population control","revolt","train"
"1307","belle epoque","city name in title","monster","paris france","belle epoque"
"1308","fbi","movie producer","sting operation","undercover","urination"
"1309","back from the dead","crime boss","crow","gothic","vigilante"
"1310","ancient india","dual role","good versus evil","hindu","kingdom"
"1311","jumping on a bed","kissing while having sex","librarian","male objectification","pregnant woman in bathtub"
"1312","meddling","psychologist","sobbing female","subtitled scene","you can say that again joke"
"1313","eighteen wheeler","illegal street racing","truck","trucker","undercover cop"
"1314","dog","life","remake by original director","science","stop motion animation"
"1315","alliance","cannibalism","future","operative","planet"
"1316","boxer","boxing","boxing arena","boxing manager","directed by co star"
"1317","computer","high school","kryptonite","smallville","villain"
"1318","broke","promoter","retirement","trainer","training"
"1319","alliance","battle","china","chinese","strategy"
"1320","alabama","divorce","divorce papers","husband wife relationship","new york city"
"1321","call in","chick flick","date","hot air balloon","show producer"
"1322","greenland","military","revenge","soldier","u.s. soldier"
"1323","island","mad scientist","scientist","sequel","spy"
"1324","23rd century","bare chested male bondage","enterprise the starship","rescue","sacrifice"
"1325","challenge","china","hong kong","martial arts","martial arts master"
"1326","circus","circus vargas","elephant","fear","train"
"1327","alien","digit in title","human form","number 3 in title","talking on a rooftop"
"1328","african american","book","boxer","boxing","murder"
"1329","abusive husband","escape","intimate partner homicide","marriage","woman wearing only a man's shirt"
"1330","bank","infidelity","millionaire","money","scam"
"1331","character name in title","no opening credits","sequel","wilhelm scream","character name in title"
"1332","apartment","fate","gun","love","mysterious man"
"1333","bully","co worker","divorce","fight","karate"
"1334","bare butt","gnosticism","lucifer","rare book","sex"
"1335","cartoon on tv","doctor","emergency room","hospital","nudity"
"1336","cover band","fired from a job","heavy metal","rock star","tribute band"
"1337","abuse","african american lesbian","lesbian","lesbian couple","school"
"1338","acrophobia","jamaica","male bonding","prostitute","tragedy"
"1339","alien creature","alien life form","antarctica","isolation","paranoia"
"1340","alien","left for dead","mercenary","survival","vomiting"
"1341","deputy","fbi agent","knife held to throat","serial killer","sheriff"
"1342","army","mexican","orphan","texas","texas ranger"
"1343","box","food","mayor","pipeworks","scientist"
"1344","drifter","past life regression","psychological testing","right hand man","scientology"
"1345","breasts","nude nun","plague","russian nobleman","two word title"
"1346","african american","coach","football movie","nonlinear timeline","syracuse university"
"1347","alien","attack","based on novel","based on young adult novel","fear"
"1348","boxing","boxing match","fight","montage","philadelphia"
"1349","bank manager","bank robbery","criminal gang","heist","prison"
"1350","baby","expecting twins","hawaiian shirt","photographer","pregnancy"
"1351","cia","divorce","embassy","gym","memoir"
"1352","author","girl","island","reading","scientist"
"1353","1970s","female rear nudity","formula 1","rivalry","sex with a nurse"
"1354","abusive father","coincidence","fictional game show","fictional quiz show","multiple storyline"
"1355","baseball card","detective","partner","thief","wedding"
"1356","motor scooter","new york city","newborn baby","scooter","single"
"1357","boy","dolphin","prosthetics","tail","trap"
"1358","blood","high school","love","school","vampire"
"1359","health care","heart transplant","hospital","hostage","insurance"
"1360","detective","diamond","jewel","police","thief"
"1361","fake family","male frontal nudity","marijuana","mexico","stripper"
"1362","22nd century","first part","friend","guard","space opera"
"1363","car breakdown","diner","jeep","paranoia","violence"
"1364","british","character says now that you're on the case i hope we're going to have some gratuitous sex and violence","cruise missile","missile","nuclear warhead"
"1365","cheating wife","drug reference","maintenance man","male vomiting","promiscuous woman"
"1366","dolphin","latex gloves","medical scrubs","purple gloves","turtle"
"1367","casino","christmas","christmas season","girlfriend","release from prison"
"1368","bust","dea","drug cartel","justice","tragic hero"
"1369","box office flop","critically bashed","hawaii","one word title","written by director"
"1370","activist","assassin","civil rights","trial","widow"
"1371","fisherman","japanese","love","trial","washington state"
"1372","demon","exorcism","exorcist","faith","seminary"
"1373","accident","future","genetics","mission","police"
"1374","autistic son","cancer","female protagonist","new york city","son"
"1375","astronaut","attacked by a plant","planet","senator","space travel"
"1376","alderman","party","president","presidential candidate","washington d.c."
"1377","drunkenness","female nudity","hangover","hedonism","morning after"
"1378","1950s","cancer","hong kong","martial arts school","wing chun"
"1379","penis joke","phallic image","sexy agent","spy","volcano hideout"
"1380","city","dc comics","gotham","pantyhose","police"
"1381","dying","forgiveness","saint","spanish civil war","starts with narration"
"1382","gangster","gun","internal affairs","police","police officer"
"1383","american football","based on true story","football star","high school football","left tackle"
"1384","brother sister relationship","espionage","rescue","secret agent","spy"
"1385","black comedy","boss","chemical company","dental assistant","murder"
"1386","arkansas","murder","sheriff","texas ranger","u.s. marshal"
"1387","fashion","fashion industry","magazine","new york city","publishing"
"1388","alien","space","space station","spacecraft","warp speed"
"1389","bounty hunter","credit card","cross country","identity","police"
"1390","lawyer","neo noir","prison","rapist","southern gothic"
"1391","based on true story","blackjack","card counting","gambling","massachusetts institute of technology"
"1392","actress playing herself","actress shares first name with character","fired from a job","male nudity","written by star"
"1393","argument","engagement","family relationships","love","undressing"
"1394","church","english","flashback","nurse","patient"
"1395","1950s","call girl","corruption","murder","police detective"
"1396","coming of age","friend","high school","sidekick","superpower"
"1397","academy award","gay","high school","reporter","teacher"
"1398","alien","interspecies sex","scientist","sexual attraction","train"
"1399","freddy krueger","lucid dream","serial killer","slasher","sleep deprivation"
"1400","coma","fbi","race against time","serial killer","strong female lead"
"1401","france","musketeer","three musketeers","twin","twin brother"
"1402","eccentric","horse racing","newspaper clipping","stallion","triple crown"
"1403","martial arts master","monster","new york city","turtle","warrior"
"1404","coach","football","football coach","high school","radio"
"1405","blow job","female rear nudity","girl in panties","male objectification","no panties"
"1406","bare chested male","gay","gay best friend","gay man","gay marriage proposal"
"1407","author","disney","loss of father","reference to walt disney","suppression of emotion"
"1408","african american","black history","civil rights","ku klux klan","nation of islam"
"1409","40th birthday","aging","birthday","sex","viagra"
"1410","best friend","business deal","impulse","public relations","twin"
"1411","battle","slave","vampire","warrior","werewolf"
"1412","box office flop","church","kissing","usa","wedding"
"1413","baseball","baseball team","bully","millionaire","team"
"1414","date","dating","dog","love","teacher"
"1415","fbi","mafia","money","racial slur","singer"
"1416","amnesia","quarantine","special forces","virus","zombie"
"1417","ghost","haunted","haunting","house","paranormal investigator"
"1418","casino","irony of fate","landlady","professor","remake"
"1419","corporation","death","ex partner","hallucination","police detective"
"1420","currency","future","murder","on the run","time"
"1421","artificial insemination","baby","cheese","chick flick","pet shop"
"1422","best friend","crush","law school","lawyer","loud sex"
"1423","affair","hip hop","sex scene","affair","hip hop"
"1424","14th century","king","knight","sword duel","time travel"
"1425","baseball","california","coach","little league","swimming pool"
"1426","guile","hostage","ransom","soldier","united nations"
"1427","ghetto","holocaust","jewish","piano","warsaw ghetto"
"1428","angel","bethlehem","journey","nazareth","virgin"
"1429","brother sister relationship","group of friends","male nudity","twin","wax"
"1430","cheating wife","film camera","hasselblad camera","leica camera","medium format camera"
"1431","agent","fbi","federal bureau of investigation","gay relationship","secret"
"1432","estranged wife","evil","fire","medication","mirror"
"1433","fatal attraction","interspecies romance","queen","supernatural power","vampire"
"1434","alien","drug lord","gang","hunter","predator"
"1435","cat","fbi agent","murder","serial killer","website"
"1436","1960s","bomb shelter","cuban missile crisis","food","naive man"
"1437","american football","cult film","emperor","flash gordon","mind reading"
"1438","baby","childbirth","death","karma","publicist"
"1439","assassin","detective","partner","police","serial killer"
"1440","graveyard","murder","murder trial","reporter","trial"
"1441","bus","die hard scenario","bus","die hard scenario","bus"
"1442","farm","magic","mother daughter relationship","overalls","title directed by female"
"1443","labor","labor union","leader","mafia","union"
"1444","fbi","priest","psychic","psychic vision","staff physician"
"1445","curse","fairy","obedience","prince","strong female character"
"1446","chronic traumatic encephalopathy","concussion","football","football player","pathologist"
"1447","assassin","high school","on the run","teenager","website"
"1448","dove","falcon","nursing","pigeon","psychological torture"
"1449","based on novel","college girl","midlife crisis","pittsburgh pennsylvania","professor"
"1450","dragonfly","hero","high school","soaking wet","supervillian origin"
"1451","election","father son relationship","fellatio","gay slur","title spoken by character"
"1452","creature","death","party","rescue","werewolf"
"1453","chase","courier","delivery","envelope","police"
"1454","danger","drug cartel","female cop","female police officer","fugitive"
"1455","male nudity","naked dead man","nudity","sex","whipping"
"1456","action hero","disguise","hospital","real estate agent","thief"
"1457","career","player","tennis","tennis player","wimbledon"
"1458","animal","bear","land developer","real estate","real estate developer"
"1459","great white shark","shark","supermarket","swimming","tsunami"
"1460","cyclops","fortress","monster","planet","rescue"
"1461","afghanistan","professor","reporter","student","university"
"1462","bombardier","pilot","u.s. navy","vietnam","vietnam war"
"1463","drugs","elvis","musician","singer","the beatles"
"1464","employee employer relationship","husband wife relationship","newspaper","ship","wake"
"1465","legend","old west","outlaw","railroad","stealing from the rich"
"1466","19th century","courtship","female protagonist","princess","queen of england"
"1467","antarctica","geologist","investigation","u.s. marshal","winter"
"1468","1950s","children","ice cube","texas","waco texas"
"1469","cia","hong kong","market","undercover","van"
"1470","dea","drug cartel","kicked in the crotch","strip club","tough girl"
"1471","death","exorcism","heaven","priest","sin eater"
"1472","gun fu","plastic surgery","psychopath","undercover","vigilante"
"1473","bruise","female hero","super strength","superhero","teenage superhero"
"1474","1970s","based on true story","new york city","skyscraper","tightrope walker"
"1475","anthropomorphic animal","football","kangaroo","sword and sorcery","water boy"
"1476","based on novel","inheritance","provence","uncle","wine"
"1477","murder","police","psychopath","murder","police"
"1478","father son relationship","physical abuse","radio flyer","stepfather","stepfather stepson relationship"
"1479","1970s","1980s","barrio","gang war","mexican"
"1480","boy","greenland","neighbor","roof","snow"
"1481","ambassador","cannes","identity","suicide","thief"
"1482","arab","general","libya","muslim","mussolini"
"1483","austrian","breasts","cholera","police","provence"
"1484","bushwhacker","friend","honor","kansas","raid"
"1485","children","chinese","illegal immigrant","immigrant","male ponytail"
"1486","1770s","british india","great barrier reef","india","ring"
"1487","bank","cleavage","farmer","female gunfighter","mexico"
"1488","based on novel","based on novel","based on novel","based on novel","based on novel"
"1489","based on novel","concrete wall","maze","open ended","teenage boy"
"1490","business trip","company","glory hole","male frontal nudity","male nudity"
"1491","19th century","countess","lawyer","love","new york"
"1492","eternity","love","mayan","tree","tree of life"
"1493","colonel","ice","ice cream truck","military","u.s. army"
"1494","bank","money","presumed dead","rescue","thief"
"1495","children adventure","magical realism","sea goddess","small town","tsunami"
"1496","1940s","art collector","bull riding","north carolina","student"
"1497","astronaut","electrocuted in bathtub","mission","pilot","sister"
"1498","dream","italian","kenya","ranch","snake"
"1499","coach","soccer","soccer coach","soccer mom","soccer team"
"1500","africa","apartheid","nelson mandela","president","resistance"
"1501","cold war","cold war era","interview","russia","written and directed by cast member"
"1502","cuba","guantanamo","lance corporal","lawyer","murder"
"1503","corrupt cop","drug dealer","drugs","heroin","vice president"
"1504","disguise","fbi","female impersonation","gender disguise","obesity"
"1505","alien","aurora borealis","critically bashed","killing an animal","nightclub"
"1506","3 dimensional","dance","dancer","dancing","flash mob"
"1507","baby rattle","famous line","murder","passenger","snake"
"1508","fbi","murder","scene of the crime","serial killer","therapy"
